bdi1,BDI,blina diamonds nl
bdl1,BDL,brandrill limited
bdm2,BDM,biodiem limited
bdr2,BDR,beadell resources limited
bds1,BDS,bridgestone australia limited
bea1,BEA,b.e.s.t. australia limited
bec2,BEC,becton property group
bec2,BEC,becton property group limited
bee1,BEE,berela limited
bei1,BEI,beton industries limited
bem1,BEM,beam international limited
bem1,BLZ,blaze international limited
ben1,BEN,bendigo and adelaide bank limited
ben1,BEN,bendigo bank limited
ben1,BEN,bendigo sandhurst mutual permanent land & bui
bep1,BEP,bbi eps limited
ber1,BER,berklee limited
bet1,BET,belmont holdings limited
bfe1,BFE,black fire energy limited
bfg1,BFG,black flag consolidated limited
bfg2,BFG,bell financial group limited
bfs2,BFS,beacon financial services limited
bfs2,TFS,tranzact financial services limited
bgd1,BGD,boulder gold n.l.
bgd1,BGD,boulder group nl
bgd1,BGD,boulder steel limited
bgf1,BGF,ballarat goldfields limited
bgf1,BGF,ballarat goldfields nl
bgl1,BGL,battery group limited
bgl2,BGL,bigair group limited
bgn1,BGN,bresagen limited
bhg1,BHG,bhp gold mines limited
bhh1,BHH,broken hill holdings limited
bhi1,BHI,biohealth international limited
bhm1,BHM,broken hill metals n.l.
bho1,BHO,baron house limited
bhp1,BHP,bhp billiton limited
bhp1,BHP,bhp limited
bhp1,BHP,broken hill proprietary company limited (the)
bht1,BHT,bt hotel group
bic1,BIC,biron apparel limited
bic1,BIC,biron capital limited
bic1,BIC,biron corporation limited
bid1,BID,biodiscovery limited
bid1,PHW,prince hill wines limited
bid1,SGV,simon gilbert wines limited
bid1,VIN,vincent (a.l.) industries limited
bid1,VIN,vinvestments limited
big1,AEA,altera capital limited
big1,AEA,altera resources limited
big1,BIG,bigshop.com.au limited
bih1,BIH,besser industries holdings limited
bii1,AGX,agenix limited
bii1,BII,biotech international limited
bii1,BII,biotech international ltd.
bil1,BIL,brambles industries limited
bil1,BXB,brambles limited
bin1,BIN,bintang limited
bin1,EEL,envirostar energy limited
bin1,GPE,green pacific energy limited
bir1,BIR,burswood limited
bir1,BSD,burswood property trust
bit1,BIT,biotron limited
bix1,BIX,biometrics limited
bix1,PHG,pulse health limited
biy1,BIY,bibury limited
biy1,BSH,brash holdings limited
bjt2,BJT,babcock & brown japan property trust
bka1,BKA,buka minerals limited
bkd1,BKD,blackwood industries limited
bkg1,BKG,buka gold limited
bki2,BKI,brickworks investment company limited
bkl1,BKL,blackmores limited
bkn1,BKN,bradken limited
bkp1,BKP,baraka petroleum limited
bkr1,BKR,becker group limited
bkr1,BKR,broadcast production services limited
bks1,BKS,burdekin pacific limited
bks1,BKS,burdekin resources limited
bks1,BKS,burdekin resources nl
bks1,RBM,redbank mines limited
bkt1,BKT,barrack technology limited
bkv1,AKF,ask funding limited
bkv1,BKV,big kev's limited
bkv1,ICD,impact capital limited
bkw1,BKW,brickworks limited
bky1,BKY,berkeley resources limited
blg1,BLG,bluglass limited
bli1,AOI,alto energy international limited
bli1,BLI,biologic international limited
bli1,CHH,cottee health limited
bli1,FIL,fashion intimates limited
bli1,GGE,grand gulf energy limited
bli1,LDR,lach drummond resources ltd
blk1,BLK,blakistons limited
blk2,BLK,blackham resources limited
bll1,BLL,the bell group ltd.
bln1,BLN,bullion minerals limited
bln1,UEQ,uranium equities limited
blo1,BLO,bligh oil & minerals nl
blo1,HZN,horizon oil limited
blo1,HZN,horizon oil nl
blp1,BLP,babcock & brown residential land partners gro
blr1,BLR,black range minerals limited
blr1,BLR,black range minerals nl
blr1,NOR,noble resources nl
blr1,UAL,uranium australia nl
blu1,BLU,bluefreeway limited
blv1,BLV,bligh ventures limited
blv1,VOL,volant petroleum limited
bly1,BLY,boart longyear limited
bmc2,BMC,bmcmedia limited
bmc2,BMC,bmcmedia.com limited
bmc2,HYO,hyro limited
bmd1,BMD,black mountain gold nl
bml1,BML,bank of melbourne limited
bml2,BML,botswana metals limited
bmm1,BMM,bellamel mining limited
bmn1,BMN,bannerman resources limited
bmp1,BMP,bellara medical products limited
bmr2,BMR,balmoral corporation limited
bmx1,BMX,bemax resources limited
bmx1,BMX,bemax resources nl
bmx1,PGR,peregrine resources (aust) n.l.
bmx1,PGR,peregrine resources nl
bmy1,BMY,brumby resources limited
bna1,BNA,britannia gold nl
bna1,FYI,freedom eye ltd
bna1,SBP,solbec pharmaceuticals limited
bnb1,BNB,babcock & brown limited
